state,x,y
Alabama,125,-77
Alaska,-204,-170
Arizona,-210,-40
Arkansas,45,-53
California,-310,13
Colorado,-125,20
Connecticut,290,90
Delaware,275,40
Florida,210,-145
Georgia,170,-75
Hawaii,-317,-143
Idaho,-216,122
Illinois,85,37
Indiana,125,39
Iowa,38,65
Kansas,-30,5
Kentucky,149,-1
Louisiana,53,-130
Maine,315,164
Maryland,230,42
Massachusetts,280,105
Michigan,140,90
Minnesota,15,135
Mississippi,83,-80
Missouri,40,6
Montana,-150,150
Nebraska,-50,50
Nevada,-260,55
New Hampshire,300,125
New Jersey,280,65
New Mexico,-140,-50
New York,240,100
North Carolina,210,-22
North Dakota,-60,150
Ohio,170,50
Oklahoma,-20,-40
Oregon,-290,135
Pennsylvania,215,65
Rhode Island,310,95
South Carolina,200,-55
South Dakota,-60,109
Tennessee,120,-35
Texas,-38,-106
Utah,-189,34
Vermont,282,140
Virginia,230,10
Washington,-270,190
West Virginia,195,20
Wisconsin,65,115
Wyoming,-140,90
